Date,Amount,Memo
01/13/2026,-3.50,Daily Newspaper
01/14/2026,-17.40,Fast Food
01/15/2026,-9.25,Cafe Breakfast
01/16/2026,-20.00,Ride Share
01/17/2026,-5.00,Subway Fare
01/18/2026,-14.90,Household Cleaners
01/19/2026,-8.30,Afternoon Coffee
01/20/2026,-12.75,Pizza Slice
01/21/2026,-4.60,Parking Meter
01/22/2026,-21.50,Stationery Shop
01/23/2026,-7.20,Bagel Lunch
01/24/2026,-16.00,Movie Ticket
01/25/2026,-9.80,Snack Bar
01/26/2026,-5.20,Bus Fare
01/27/2026,-23.40,CVS Health
01/28/2026,-10.50,Burger Joint
01/29/2026,-6.15,Bakery Treat
01/30/2026,-18.90,Grocery Staples
01/31/2026,-4.75,Vending Machine
02/01/2026,-12.30,Lunch Deli
02/02/2026,-7.40,Morning Espresso
02/03/2026,-21.10,Local Market
02/04/2026,-3.90,Toll Charge
02/05/2026,-15.20,Dinner Pickup
02/06/2026,-8.50,Convenience Store
02/07/2026,-24.00,Clothing Basic
02/08/2026,-6.00,Subway Pass
02/09/2026,-11.75,Office Lunch
02/10/2026,-19.60,Drugstore
02/11/2026,-4.40,Street Snack
02/12/2026,-13.80,Fast Food Combo
02/13/2026,-9.10,Cafe Mocha
02/14/2026,-22.50,Cinema Visit
02/15/2026,-5.30,Public Transit
02/16/2026,-16.80,Deli Platter
02/17/2026,-7.95,Coffee Break
02/18/2026,-14.40,Book Store
02/19/2026,-20.70,Household Items
02/20/2026,-3.25,Parking Fee
02/21/2026,-11.50,Sandwich Shop
02/22/2026,-18.25,Mini Mart
02/23/2026,-6.60,Pastry Cafe
02/24/2026,-24.95,Online Order
02/25/2026,-5.50,Bus Fare
02/26/2026,-13.10,Fried Chicken
02/27/2026,-9.40,Stationery
02/28/2026,-21.80,Supermarket
03/01/2026,-4.10,Vending Snacks
03/02/2026,-12.00,Midday Meal
03/03/2026,-8.70,Morning Brew
03/04/2026,-19.20,Pet Food
03/05/2026,-6.40,Train Ticket
03/06/2026,-15.75,Chinese Takeout
03/07/2026,-3.80,Newspaper
03/08/2026,-23.50,Hardware Fix
03/09/2026,-10.20,Dessert Shop
03/10/2026,-5.15,Metered Parking
03/11/2026,-14.50,Salad Bar
03/12/2026,-22.00,Toiletries
03/13/2026,-7.60,Juice Shop
03/14/2026,-11.90,Pizza Lunch
03/15/2026,-4.30,Subway Fare
03/16/2026,-18.10,Grocery Run
03/17/2026,-6.85,Coffee & Bagel
03/18/2026,-20.40,Tech Accessory
03/19/2026,-9.00,Tacos
03/20/2026,-13.50,Stationery Store
03/21/2026,-5.70,Public Bus
03/22/2026,-24.20,Pharmacy Pickup
03/23/2026,-8.10,Afternoon Latte
03/24/2026,-16.50,Burger Meal
03/25/2026,-4.50,Newsstand Snack
03/26/2026,-12.80,Sushi Roll
03/27/2026,-21.00,Discount Store
03/28/2026,-7.25,Cafe Tea
03/29/2026,-15.30,App Subscription
03/30/2026,-6.00,Parking
03/31/2026,-19.80,Grocery Milk/Bread
01/15/2026,-12.50,Lunch Spot
02/15/2026,-4.95,Coffee To-Go
03/15/2026,-23.10,General Store
01/20/2026,-6.40,Commuter Fare
02/20/2026,-14.20,Deli Counter
03/20/2026,-8.90,Morning Perk
01/25/2026,-21.75,Drugstore Run
02/25/2026,-5.30,Bus Travel
03/25/2026,-17.40,Takeout Food
01/10/2026,-4.15,Snack Pack
02/10/2026,-13.60,Fast Casual
03/10/2026,-11.20,Bookstore Item
01/05/2026,-24.50,Hardware Supply
02/05/2026,-7.80,Coffee & Muffin
03/05/2026,-19.90,Grocery Express
01/28/2026,-5.00,Transit Top-up
02/28/2026,-12.45,Sub Sandwich
03/28/2026,-9.30,Cafe Visit
